"","GSM461176_untreated_single","GSM461177_untreated_paired","GSM461178_untreated_paired","GSM461179_treated_single","GSM461180_treated_paired","GSM461181_treated_paired","GSM461182_untreated_single"
"FBgn0267431",2.19988706875227,0,0,8.51758304160428,2.24298440664782,0,0
"FBgn0010247",505.240730123439,400.95261024182,324.090924657556,981.070701246602,439.624943702973,293.521640676848,826.333687484925
"FBgn0086378",521.373235294289,493.300295982648,590.186631218498,1061.60057727631,586.540422338405,456.384745378422,1036.29365859922
"FBgn0263977",1392.52851452019,904.773528650638,956.352518024579,1897.09804108459,1065.41759315771,828.117481533427,1296.59490933742
"FBgn0069923",20.5322793083546,5.84479023676123,12.5087725306425,41.8135894769664,20.1868596598304,13.8019580255571,28.2402300329172
"FBgn0039955",896.08733267176,666.30608699078,546.974507930823,1067.0208573937,519.25089013897,428.780829327308,1069.44523298569
"FBgn0259821",189.92358360228,176.512665150189,142.145142393665,432.848083659708,348.784075233736,304.563207097294,201.365118495584
"FBgn0027341",17.5990965500182,15.1964546155792,14.7830948089412,32.5216807043072,13.4579064398869,15.6422190956314,11.0505247954893
"FBgn0085812",2.93318275833637,4.67583218940898,0,1.54865146210987,1.12149220332391,1.84026107007428,0
"FBgn0058198",57.9303594771432,56.1099862729078,48.8979289834208,54.9771269049003,40.3737193196608,30.3643076562257,63.8474765961607
"FBgn0037213",600.569169769371,725.922947405744,586.77514780105,847.112349774098,893.829286049156,1037.9072435219,755.119194358439
"FBgn0053294",118.060606023039,74.8133150305437,70.5039906272579,145.573237438328,34.7662583030412,71.770181732897,90.8598705406902
"FBgn0000500",3.66647844792046,2.33791609470449,6.82296683489593,5.42028011738454,8.97193762659128,9.20130535037141,1.2278360883877
"FBgn0037215",7071.90363034898,7460.29025820203,8043.14073720315,6492.72125489562,6726.71023553681,6565.13136749,8006.71913237622
"FBgn0037217",61.5968379250637,107.544140356407,83.0127631579004,53.4284754427905,71.7755010127302,87.4124008285284,62.6196405077729
"FBgn0037218",3137.03896004074,3253.2102457813,3008.9283741891,2995.86625345154,3164.85099778007,3179.97112908836,3394.966784392
"FBgn0051516",24.9320534458591,21.0412448523404,25.0175450612851,18.5838175453184,26.9158128797738,22.0831328408914,28.2402300329172
"FBgn0261436",977.483154215594,1179.47866977842,1230.40835255957,956.292277852844,1037.38028807462,1202.61060929354,1062.07821645536
